commencer	VER	76
savoir	NOM,VER	76
environ	ADV	76
rapport	NOM	76
maire	NOM	76
vacciner	VER,ADJ	76
utiliser	VER,ADJ	75
parce	ADV	75
manière	NOM	75
seulement	ADV	75
quotidien	ADJ,NOM	75
continuer	VER	75
trouver	VER	75
montrer	VER	75
club	NOM	75
toutefois	ADV	74
poursuivre	VER	74
condamner	VER,ADJ,NOM	74
participer	VER	74
manifestant	NOM	74
virus	NOM	73
union	NOM	73
eux	PRO:per	73
entrer	VER	72
territoire	NOM	72
tenir	VER	72
exemple	NOM	72
économique	ADJ,NOM	72
rester	VER	72
me	NOM,PRO:per	72
film	NOM	72
assurer	VER	71
citoyen	NOM	71
reprendre	VER,ADJ,NOM,VER	70
sein	NOM	70
aucune	ADJ:ind,PRO:ind	70
accord	NOM	70
examen	NOM	70
officiel	ADJ,NOM	70
juge	NOM,VER	70
proche	ADJ,NOM	70
produire	VER,ADJ,NOM	69
tard	ADV,NOM	69
ordre	NOM	69
professionnel	ADJ,NOM	69
attaque	NOM,VER	69
répondre	VER	68
journée	NOM	68
contamination	NOM	68
problème	NOM	68
rencontre	NOM,VER	68
entrer	VER,NOM	68
classe	NOM,VER	67
là	ADV,ONO	67
civil	ADJ,NOM	67
vote	NOM,VER	67
besoin	NOM	67
difficile	ADJ	67
activité	NOM	67
grâce	NOM,ONO,PRE	66
petit	ADJ,NOM	66
école	NOM	66
moyen	ADJ,NOM	66
assurer	VER,ADJ,NOM	66
enregistrer	VER	66
avocat	NOM	66
mondial	ADJ	66
jouer	VER	66
parlementaire	ADJ,NOM	66
penser	VER	65
trop	ADV	65
terme	NOM	65
sembler	VER	65
russe	ADJ,NOM	65
élire	VER,ADJ,NOM	65
prison	NOM	65
matin	NOM	65
commission	NOM	65
fonction	NOM	65
non-vaccinés	NOM	65
rien	NOM,PRO:ind	64
laisser	VER	64
sept	ADJ:num,NOM	64
proposition	NOM	64
dizaine	NOM	64
retour	NOM	64
décider	VER,ADJ	64
ensemble	ADV,NOM	64
saison	NOM	64
ici	ADJ:num,ADV	63
fédération	NOM	63
marine	ADJ,NOM,VER	63
haut	ADJ,ADV,NOM	63
recevoir	VER,ADJ,NOM	63
judiciaire	ADJ	62
personnel	ADJ,NOM	62
